Organization,Warehouse,Bin,Product Category,Product,Product Key,Quantity On Hand
Kwekwe,Kwekwe-Store,KWE-NEGSTOCK,General Builders,Brick Common Plaster - Vic Shop,VCCP,-18115
Vicfalls,Vicfalls-Store,VIC-NEGSTOCK,General Builders,Brick Common Plaster - Vic Shop,VCCP,-4466
Vicfalls,Vicfalls-Store,VIC-NEGSTOCK,Roofing Steel,IBR Chromadek Traffic Green 0.47mmx686mm x 1.0m,RSICSTG0147,-208
Timbers Bulk Center,TBC-Store,WV-NEGSTOCK,Timber Structural,76X50 S5 PAR 6.0M,TS765060S5P,-155
Timbers Bulk Center,TBC-Store,WV-NEGSTOCK,Clearance,Melamine Edging Storm Summer White Gloss 1.3mm x 20mm x 1m,TBMESSWG1302001,-150
Timbers Bulk Center,TBC-Store,WV-NEGSTOCK,Timber Structural,76X38 S5 R/S 1.8M,TS763818,-144
Vicfalls,Vicfalls-Store,VIC-NEGSTOCK,Timber Mouldings,Brandering 38X38 6.3M,TMBR63,-133
Timbers Bulk Center,TBC-Store,WV-NEGSTOCK,Clearance,Melamine Edging White 1.5mm x 20mm x 1m,TBMEW1502001,-100
Timbers Bulk Center,TBC-Store,WV-NEGSTOCK,Timber General,76X38 GG R/S 1.8M,TG763818,-93
